SMILES,Surfactant_Type,CMC,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,C20,Temp_Celsius,Ref_CMC,Ref_AW_ST_CMC,SubRef_CMC,SubRef_AW_ST_CMC,Ref_Gamma_max,Ref_Pi_CMC,Ref_Area_min,Ref_pC20,Ref_C20
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic,0.000012,4.920818754,36.9,0.00000097,1.708,35.07,6.28,0.001873401,25,10.1016/j.colsurfa.2014.03.012,10.1016/j.colsurfa.2014.03.012,,,10.1016/j.colsurfa.2014.03.012,calculated,10.1016/j.colsurfa.2014.03.012,10.1016/j.colsurfa.2014.03.012,calculated
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic,0.000016,4.795880017,33.7,0.00000117,1.414,38.27,6.17,0.002091236,25,10.1016/j.colsurfa.2014.03.012,10.1016/j.colsurfa.2014.03.012,,,10.1016/j.colsurfa.2014.03.012,calculated,10.1016/j.colsurfa.2014.03.012,10.1016/j.colsurfa.2014.03.012,calculated
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic,0.00003,4.522878745,34.1,0.00000129,1.288,37.87,5.73,0.003247077,25,10.1016/j.colsurfa.2014.03.012,10.1016/j.colsurfa.2014.03.012,,,10.1016/j.colsurfa.2014.03.012,calculated,10.1016/j.colsurfa.2014.03.012,10.1016/j.colsurfa.2014.03.012,calculated
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic,0.000059,4.229147988,34.4,0.00000166,1.001,37.57,5.17,0.005684569,25,10.1016/j.colsurfa.2014.03.012,10.1016/j.colsurfa.2014.03.012,,,10.1016/j.colsurfa.2014.03.012,calculated,10.1016/j.colsurfa.2014.03.012,10.1016/j.colsurfa.2014.03.012,calculated
CCCCCCCCCc1ccc(OCC(O)C[N+](C)(C)C)cc1.[Br-],cationic,0.0047,2.32790214206428,29.5,,,,,,25,10.1002/cjoc.200590957,10.1016/j.ces.2022.118208,,10.1002/cjoc.200590957,,,,,
CCCCCCCCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,0.001122018,2.95,33.3,0.00000222,0.8,38.7,3.441818024,0.032006444,25,10.1111/cbdd.12236,10.1111/cbdd.12236,10.1111/cbdd.12236,,10.1111/cbdd.12236,10.1111/cbdd.12236,10.1111/cbdd.12236,calculated,calculated
CCCCCCCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,0.001230269,2.91,44,0.00000236,0.74,27.97,3.107921873,0.044693738,25,10.1111/cbdd.12236,10.1111/cbdd.12236,10.1111/cbdd.12236,,10.1111/cbdd.12236,calculated,10.1111/cbdd.12236,calculated,calculated
CCCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,0.001318257,2.88,45.2,0.00000239,0.72,26.8,3.046121873,0.047542945,25,10.1111/cbdd.12236,10.1111/cbdd.12236,10.1111/cbdd.12236,,10.1111/cbdd.12236,10.1111/cbdd.12236,10.1111/cbdd.12236,calculated,calculated
CCCCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,0.00144544,2.84,46.4,0.00000242,0.7,25.6,2.975110304,0.051041804,25,10.1111/cbdd.12236,10.1111/cbdd.12236,10.1111/cbdd.12236,,10.1111/cbdd.12236,10.1111/cbdd.12236,10.1111/cbdd.12236,calculated,calculated
CCCCCCCCCn1cc[n+](COCCOC[n+]2ccn(CCCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,0.001548817,2.81,47.5,0.00000245,0.68,24.5,2.917241341,0.054082677,25,10.1111/cbdd.12236,10.1111/cbdd.12236,10.1111/cbdd.12236,,10.1111/cbdd.12236,10.1111/cbdd.12236,10.1111/cbdd.12236,calculated,calculated
CCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)CCN(CCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,sugar-based non-ionic,0.000067,4.173925197,28.2,0.00000258,0.64,43.6,5.8,0.00000158,25,10.1016/j.jcis.2003.09.020,10.1016/j.ces.2022.118208,,10.1016/j.jcis.2003.09.020,10.1016/j.jcis.2003.09.020,,10.1016/j.jcis.2003.09.020,10.1016/j.jcis.2003.09.020,
