SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.677780705,34.8,,,37.2,3.09,2.0
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,2.200659451,29.8,3e-06,0.55,42.2,3.2,3.0
CC(C)(C)OCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.8569852,44.0,1.1e-06,1.51,28.0,3.18,1.0
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,1.787013815,39.2,2.9e-06,0.57,32.8,2.2,9.0
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],anionic,25.0,1.958607315,39.0,2.9e-06,0.57,33.0,2.41,5.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],anionic,25.0,1.522878745,20.2,2.8e-06,0.59,51.8,2.57,1.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25.0,1.537602002,20.6,3.9e-06,0.43,51.4,2.51,2.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,1.522878745,24.6,4e-06,0.42,47.4,2.5,2.0
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],anionic,25.0,1.879426069,35.2,1.55e-06,1.07,36.8,2.85,9.0
CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.602059991,41.0,2.9e-06,0.572599678,31.0,3.05,2.0
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.537602002,41.4,2.6e-06,0.64,30.6,2.94,5.0
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.408935393,41.1,3.2e-06,0.52,30.9,3.73,5.0
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.920818754,36.9,9.7e-07,1.708,35.07,6.28,4.0
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.795880017,33.7,1.17e-06,1.414,38.27,6.17,4.0
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.522878745,34.1,1.29e-06,1.288,37.87,5.73,4.0
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.229147988,34.4,1.66e-06,1.001,37.57,5.17,4.0
CCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,3.327994555,20.0,1.77e-06,0.94,52.0,4.91136954,2.0
CCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,2.398048596,18.0,2.06e-06,0.8,54.0,3.84355082,2.0
CCCCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.041006335,19.0,1.66e-06,0.99,53.0,3.782063054,2.0
CCCCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,2.921180817,20.0,1.6e-06,1.04,52.0,4.672789395,2.0
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.091514981,39.5,1.95e-06,0.52,32.0,2.5,5.0
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.065501549,,,,,,5.0
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.869666232,,,,,,2.0
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.602059991,,,,,,7.0
CCCCCCCCCCCCS(=O)(=O)[O-].CCC[N+](CCC)(CCC)CCC,anionic,25.0,2.657577319,,,,,,9.0
CCCCCCCCCCCOCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.537602002,,,,,,8.0
CCCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.408935393,,,,,,9.0
CCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.798602876,,,,,,3.0
CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,0.769551079,,,,,,1.0
O=C([O-])C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[Na+],anionic,25.0,1.522878745,,,,,,1.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,2.30980392,,,,,,2.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25.0,1.537602002,,,,,,2.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,1.48148606,,,,,,2.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,1.522878745,,,,,,3.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25.0,3.542118103,38.2,,,33.77,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25.0,3.991399828,38.1,,,33.87,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25.0,4.443697499,38.2,,,33.77,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.886056648,38.3,,,33.67,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.27572413,38.1,,,33.87,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC(=O)[O-].[Na+],anionic,25.0,3.403402904,39.9,,,32.07,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.769551079,40.4,,,31.57,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.829738285,38.7,,,33.27,,4.0
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.397940009,,,,,,7.0
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.301029996,,,,,,7.0
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.0,,,,,,9.0
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.0,,,,,,9.0
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.853871964,,,,,,9.0
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.657577319,,,,,,9.0
CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.721246399,,,,,,5.0
CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.552841969,,,,,,5.0
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.602059991,,,,,,2.0
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.13667714,,,,,,4.0
CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],anionic,25.0,2.050609993,,,,,,5.0
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,1.657577319,,,,,,9.0
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.040958608,,,,,,5.0
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,1.180456064,,,,,,5.0
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.853871964,,,,,,1.0
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.27572413,,,,,,3.0
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,0.698970004,,,,,,4.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,2.30980392,,,,,,1.0
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,25.0,1.744968837,,,,,,1.0
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,25.0,1.795880017,,,,,,1.0
CCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.602059991,19.0,2.56e-06,0.66,53.0,2.731026457,2.0
CCCCC(=O)OCC(COC(=O)CCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.238974748,,,,,,2.0
CCCCC(CC)CC(=O)OCC(COC(=O)CC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,0.662940274,,,,,,2.0
CCCCCC(=O)OCC(COC(=O)CCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.817015033,,,,,,2.0
CCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.047013935,,,,,,2.0
CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.080974235,,6.7e-07,2.48,,,2.0
CCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.250031916,,,,,,2.0
CCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,25.0,0.733063089,,,,,,2.0
CCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,3.795880017,,,,,,2.0
CCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,0.744968837,,8.47e-07,1.96,,,3.0
CCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.966978555,,,,,,3.0
CCCCCCC(CCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.442011852,,,,,,3.0
CCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.585026652,,,,,,3.0
CCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.713992878,,4.39e-07,3.78,,,3.0
CCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.400007822,,,,,,3.0
CCCCCCCC(CCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.548060131,,,,,,3.0
CCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.299988938,,,,,,3.0
CCCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.01300446,,5.55e-07,2.99,,,3.0
CCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.599980365,,,,,,3.0
CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.552997102,,,,,,3.0
CCCCCCCC(CCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.143996546,,,,,,3.0
CCCCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,25.0,1.143996546,,,,,,3.0
CCCCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,4.155026062,,,,,,3.0
CCCCCCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,3.301029996,,,,,,3.0
CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.131003098,,,,,,4.0
CCCCCCCCC(=O)[O-].[K+],anionic,25.0,0.408935393,,,,,,4.0
CCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.327994555,,,,,,4.0
CCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.303032359,,,,,,4.0
CCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.538951908,,6.7e-07,2.48,,,4.0
CCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.500038134,,,,,,4.0
CCCCCCCCC(CCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.635073966,,,,,,4.0
CCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.721017883,,,,,,4.0
CCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.569924944,,,,,,5.0
CCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.7000571,,,,,,5.0
CCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.395990068,,,,,,5.0
CCCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.799970733,,,,,,5.0
CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.585026652,,,,,,5.0
CCCCCCCCC(O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.31202538,,,,,,5.0
CCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.721017883,,,,,,6.0
CCCCCCCCCC(CC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.730020323,,,,,,6.0
CCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.606073993,,,,,,6.0
CCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.171018046,,,,,,6.0
CCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.779891912,,,,,,6.0
CCCCCCCCCC(CCCCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.523023534,,,,,,6.0
CCCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.89997427,,,,,,6.0
CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.480959961,,4.34e-07,3.83,,,6.0
CCCCCCCCCC(CCS(=O)(=O)[O-])OC(C)C.[Na+],anionic,25.0,2.458046526,,,,,,7.0
CCCCCCCCCC(CCS(=O)(=O)[O-])OC(CC)CCCCC.[Na+],anionic,25.0,3.501000636,,,,,,7.0
CCCCCCCCCC(CCS(=O)(=O)[O-])OC.[Na+],anionic,25.0,2.117988038,,,,,,7.0
CCCCCCCCCC(CCS(=O)(=O)[O-])OCC.[Na+],anionic,25.0,2.301029996,,,,,,7.0
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCC.[Na+],anionic,25.0,2.419987887,,,,,,7.0
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCC.[Na+],anionic,25.0,3.185020316,,,,,,7.0
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCCCC.[Na+],anionic,25.0,3.92190585,,,,,,7.0
CCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],anionic,25.0,2.707965564,,,,,,7.0
CCCCCCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,25.0,1.621057301,,,,,,7.0
CCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,1.606073993,,,,,,7.0
CCCCCCCCCC(OCC)(OCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.910094889,,,,,,7.0
CCCCCCCCCC(OCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.787013815,,,,,,7.0
CCCCCCCCCCC(=O)[O-].[K+],anionic,25.0,1.008773924,,,,,,8.0
CCCCCCCCCCC(C)S(=O)(=O)[O-].[Na+],anionic,25.0,1.827105302,,,,,,8.0
CCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.692076296,,,,,,8.0
CCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.288024146,,4.14e-07,4.01,,,8.0
CCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.89997427,,,,,,8.0
CCCCCCCCCCC(CCCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.638083381,,,,,,8.0
CCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.176982477,,,,,,8.0
CCCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.040005162,,,,,,8.0
CCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.37202001,,5e-07,3.32,,,8.0
CCCCCCCCCCC(CCS(=O)(=O)[O-])OC(C)=O.[Na+],anionic,25.0,2.583026827,,,,,,8.0
CCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],anionic,25.0,1.787013815,,,,,,8.0
CCCCCCCCCCC(O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.883060353,,,,,,9.0
CCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25.0,1.886056648,,,,,,9.0
CCCCCCCCCCCC(=O)N[C@H]1C(OC)O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@@H]1O.[Na+],anionic,25.0,2.770062314,,,,,,1.0
CCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.208028799,,,,,,1.0
CCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.367036832,,,,,,1.0
CCCCCCCCCCCC(CCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.698970004,,,,,,1.0
CCCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.150028088,,,,,,1.0
CCCCCCCCCCCC(CCS(=O)(=O)[O-])COCCO.[Na+],anionic,25.0,2.199008139,,,,,,1.0
CCCCCCCCCCCC(CCS(=O)(=O)[O-])COCCOCCO.[Na+],anionic,25.0,3.445026542,30.5,1.31e-06,1.27,41.5,4.88241526,1.0
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N(C)C.[Na+],anionic,25.0,4.787013815,30.4,1.95e-06,0.85,41.6,5.757135489,1.0
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCCCC1.[Na+],anionic,25.0,3.309981219,,,,,,1.0
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCOCC1.[Na+],anionic,25.0,3.106016433,,,,,,1.0
CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCC.[Na+],anionic,25.0,2.964170175,30.7,2.37e-06,0.7,41.3,3.751285422,1.0
CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCCC.[Na+],anionic,25.0,3.199970641,33.0,2.16e-06,0.77,39.0,3.970354043,1.0
CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1cc(Cl)c(Cl)cc1Cl.[Na+],anionic,25.0,3.640923774,29.1,2.13e-06,0.78,42.9,4.582516178,1.0
CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],anionic,25.0,2.92190585,29.0,1.75e-06,0.95,43.0,4.072962915,1.0
CCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,1.541060138,,,,,,1.0
CCCCCCCCCCCC(OCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.395990068,,,,,,1.0
CCCCCCCCCCCCC(=O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.523023534,,,,,,3.0
CCCCCCCCCCCCC(=O)[O-].[K+],anionic,25.0,1.59345982,,,,,,2.0
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.480959961,,5.55e-07,2.99,,,2.0
CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.389978975,,,,,,2.0
CCCCCCCCCCCCC(CC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.823908741,,,,,,2.0
CCCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.657972312,,,,,,2.0
CCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.628932138,,,,,,2.0
CCCCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.027010773,,,,,,2.0
CCCCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],anionic,25.0,2.432033093,,,,,,2.0
CCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25.0,3.398048596,,,,,,3.0
CCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25.0,2.568958055,,,,,,3.0
CCCCCCCCCCCCCC(C)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.959002308,,,,,,3.0
CCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.76700389,,5.25e-07,3.16,,,4.0
CCCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.576918042,,,,,,4.0
CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCCC.[Na+],anionic,25.0,4.458046526,,,,,,4.0
CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,2.838931615,,,,,,4.0
CCCCCCCCCCCCCCC(=O)[O-].[K+],anionic,25.0,2.180456064,,,,,,4.0
CCCCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.143029567,,4.54e-07,3.66,,,4.0
CCCCCCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.0970186,,,,,,4.0
CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.100015437,,,,,,4.0
CCCCCCCCCCCCCCC(OC(=O)CC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.964170175,,,,,,4.0
CCCCCCCCCCCCCCC(OC(=O)CCC)S(=O)(=O)[O-].[Na+],anionic,25.0,4.0,,,,,,4.0
CCCCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25.0,3.509058795,,,,,,4.0
CCCCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25.0,3.124996646,,,,,,5.0
CCCCCCCCCCCCCCCC(=O)N[C@H]1C(OC)O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@@H]1O.[Na+],anionic,25.0,3.920818754,,,,,,5.0
CCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.628932138,,4.74e-07,3.5,,,5.0
CCCCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,3.419987887,,,,,,5.0
CCCCCCCCCCCCCCCC(OCC)(OCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.628009089,,,,,,5.0
CCCCCCCCCCCCCCCCC(=O)[O-].[K+],anionic,35.0,2.744727495,,,,,,5.0
CCCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.346980549,,4.52e-07,3.67,,,5.0
CCCCCCCCCCCCCCCCC(OC(=O)CC)S(=O)(=O)[O-].[Na+],anionic,25.0,4.898940645,,,,,,5.0
CCCCCCCCCCCCCCCCC(OC(=O)CCC)S(=O)(=O)[O-].[Na+],anionic,25.0,4.568958055,,,,,,6.0
CCCCCCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25.0,4.106016433,,,,,,6.0
CCCCCCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25.0,3.744968837,,,,,,6.0
CCCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,3.635073966,,,,,,8.0
CCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,3.131003098,,,,,,9.0
CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.921180817,,,,,,1.0
CCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,3.139003563,,,,,,1.0
CCCCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,3.045998832,,,,,,1.0
CCCCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,1.985899678,,,,,,1.0
CCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.160019442,,,,,,2.0
CCCCCCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25.0,4.795880017,,,,,,3.0
CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.367036832,,,,,,3.0
CCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.421017157,,,,,,3.0
CCCCCCCCCCCCC[C@H](Nc1ccc(S(=O)(=O)[O-])cc1)C(=O)O.[Na+],anionic,25.0,3.387004344,,,,,,3.0
CCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.770062314,,,,,,2.0
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.552997102,,,,,,1.0
CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.921180817,,,,,,8.0
CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,1.783042793,,,,,,9.0
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,1.480959961,,5.34e-07,3.11,,,9.0
